Arbitrary start time (ms),S13 dx/dt (mm/s),S14 dx/dt (mm/s),S15 dx/dt (mm/s),S16 dx/dt (mm/s),S17 dx/dt (mm/s),S18 dx/dt (mm/s),S19 dx/dt (mm/s),S20 dx/dt (mm/s),S21 dx/dt (mm/s),S22 dx/dt (mm/s),S23 dx/dt (mm/s)
52.0,5767.281690357725,5735.639618758461,8796.876886966234,5700.442802251594,5714.2834661881425,5763.506034294726,5763.149998563341,5749.890403233002,5696.709957237604,5744.520896962064,5732.213472323458
52.1,5762.237387188356,5732.707721383071,8791.326403700627,5697.918280095339,5712.883768008915,5759.777509457939,5765.782580627791,5747.201440488658,5693.515214255861,5746.038354862839,5733.238294744246
52.2,5756.88150017505,5729.979713056088,8785.133605877494,5695.773978539599,5712.34255722215,5756.713650422464,5769.168172376804,5745.351254041515,5690.059298641878,5748.378532591806,5735.302145440477
52.300000000000004,5752.221376797712,5727.428849980192,8778.597334612756,5694.216663081427,5712.73124890309,5754.677595269419,5773.147564122615,5744.348219256559,5686.436528554687,5751.527936296903,5738.091451776888
52.400000000000006,5749.28967690949,5725.169069691112,8772.097876976834,5693.449394233149,5714.034555213122,5753.989768032119,5777.5701870109,5744.1902707968275,5682.832644362869,5755.47956677338,5741.361372394471
52.5,5748.9715085234875,5723.438957544836,8766.10859401186,5693.644180462748,5716.175819501479,5754.869789545984,5782.318678916857,5744.892398611063,5679.540909922935,5760.235145584551,5744.989009281887
52.6,5751.847259623281,5722.602641073199,8761.174036918965,5694.8732009627765,5719.05007781465,5757.476224911619,5787.315535023486,5746.517010226859,5676.962053561689,5765.7969349467685,5748.997148062139
52.7,5758.104774618355,5723.110551003692,8757.820023937658,5697.110027345623,5722.513528276413,5761.942825321066,5792.594049253593,5749.178695610175,5675.52103296874,5772.177759548191,5753.585667305975
52.800000000000004,5767.56334635815,5725.387520943009,8756.48539300667,5700.261755161882,5726.420456393107,5768.3663473072265,5798.286841064287,5753.035046130955,5675.5384788566025,5779.416622182009,5759.099403250451
52.900000000000006,5779.727028023392,5729.756876236088,8757.444629105072,5704.177507397624,5730.711697396323,5776.856888715093,5804.613773742749,5758.294598545154,5677.165020417314,5787.595794294139,5765.940391189654
53.0,5793.883367892766,5736.3991211125895,8760.778094485067,5708.690332875058,5735.448666488714,5787.569453698159,5811.898936745028,5765.1920133103595,5680.340980391975,5796.888808346072,5774.508911998003
53.1,5809.337838765434,5745.326634449903,8766.326173753389,5713.667144535809,5740.80890036965,5800.696372586008,5820.522641638039,5773.960946990661,5684.775832146848,5807.560972152264,5785.144137920332
53.2,5825.602388856981,5756.4307971075605,8773.708880589515,5719.112336059716,5747.098827998009,5816.455498343843,5830.914302446291,5784.858637620521,5689.9938732537485,5819.947826739,5798.093230456349
53.300000000000004,5842.492229124733,5769.518609970822,8782.33286952576,5725.169174034597,5754.773123169462,5835.110862093248,5843.531926122242,5798.121484949731,5695.462172481941,5834.478352476043,5813.503024844639
53.400000000000006,5860.171979435452,5784.39693973832,8791.449975304919,5732.098014174602,5764.374780640202,5856.944840930797,5858.847798115621,5813.988345709451,5700.73475813286,5851.665551752322,5831.420191624448
53.5,5879.18318943804,5800.981060323072,8800.252820431244,5740.291350912065,5776.481332632789,5882.258177652604,5877.308437345166,5832.740762616996,5705.5592960496215,5872.031502950793,5851.872678388875
53.6,5900.390925159344,5819.328719479204,8807.953611497967,5750.208065971159,5791.695516174234,5911.366977263243,5899.323283482376,5854.64566515083,5709.946417708643,5896.085380582407,5874.963050440671
53.7,5924.799891168191,5839.699741843109,8813.911798504992,5762.305372840734,5810.5697114334735,5944.57873650535,5925.288445425649,5880.008764849665,5714.209752089637,5924.326669416303,5900.842176569201
53.800000000000004,5953.384151506896,5862.514553916017,8817.774379529743,5776.991875328127,5833.579344371006,5982.154327549096,5955.532948531868,5909.197725166647,5718.95279315675,5957.192554508682,5929.733928492284
53.900000000000006,5986.995048530843,5888.325293230219,8819.518671460744,5794.592024522392,5861.104051330531,6024.262716750966,5990.296338596691,5942.574701969193,5724.939283723934,5994.994422330932,5961.997638192517
54.0,6026.222967681006,5917.731960623883,8819.443417303066,5815.341559090659,5893.400282034067,6070.931071904337,6029.726115733181,5980.476568779067,5732.988977716906,6037.943526574563,5998.0464928660795
54.1,6071.247766950986,5951.203890852071,8818.170498068586,5839.388274097889,5930.59507292378,6121.981787737918,6073.805644879652,6023.221108511715,5743.8975713632835,6086.137850190422,6038.252375003705
54.2,6121.858718833656,5989.040835132868,8816.48215401913,5866.836773451612,5972.660797570573,6177.032826152638,6122.3365734751305,6071.038203037457,5758.334733889802,6139.510567188433,6082.912347056432
54.300000000000004,6177.488871966937,6031.339671130636,8815.146982818309,5897.755306739158,6019.441739798422,6235.491056705874,6174.94592701899,6124.010507960913,5776.7728179542355,6197.838716026752,6132.234601285626
54.400000000000006,6237.237265327272,6077.93478757752,8814.780391674365,5932.226746840116,6070.644739194332,6296.60789790744,6231.074334159635,6182.084538358588,5799.520574910962,6260.7296269773,6186.252830424734
54.5,6299.999265190583,6128.452774703527,8815.672163835476,5970.374213300544,6125.848732558093,6359.586769849659,6290.022700274951,6245.040444236841,5826.758444892849,6327.599907856826,6244.789125947639
54.6,6364.56793960416,6182.472225718066,8817.760377475028,6012.290929080089,6184.535308594654,6423.657001392756,6351.032656755921,6312.474636802234,5858.548067155712,6397.661455314209,6307.5002365949795
54.7,6429.743605699654,6239.566050768806,8820.66810033027,6058.050189597677,6246.094382651512,6488.185171659357,6413.364454388809,6383.795868171477,5894.923967439753,6469.9209268409695,6373.844373609176
54.800000000000004,6494.387897431109,6299.373746918594,8823.769291741974,6107.681218866044,6309.865127789568,6552.747533473945,6476.352202928793,6458.222100694499,5935.910758970039,6543.1642679114175,6443.10845109014
54.900000000000006,6557.493166141722,6361.647802547016,8826.374481354864,6161.114947728486,6375.148121016809,6617.088414192078,6539.487151059786,6534.758589226141,5981.5247930945925,6615.985661336292,6514.430746987763
55.0,6618.1992701013805,6426.171120685738,8827.900619088527,6218.181608190996,6441.200458074079,6681.1361906031625,6602.398816938073,6612.185409851842,6031.756528596302,6686.838028985939,6586.7842411328575
55.1,6675.745127773304,6492.730179699704,8827.971363742821,6278.640949733026,6507.255710223588,6744.934631463287,6664.819885579996,6689.045943131359,6086.535449154947,6754.086252675029,6659.021893738193
55.2,6729.567091035621,6561.006916283343,8826.465537646616,6342.188480227082,6572.493163262023,6808.462075662373,6726.528124940105,6763.661928003534,6145.730943977805,6816.102974392866,6729.92560270908
55.300000000000004,6779.2897484279465,6630.461440574132,8823.602507081296,6408.501383696249,6636.034206208402,6871.531760438162,6787.209941113678,6834.173197588971,6209.099724481009,6871.381877324911,6798.197813833814
55.400000000000006,6824.659352158822,6700.309629758463,8819.881547746636,6477.247550335036,6696.959173686231,6933.73918446477,6846.3805735326305,6898.608890295266,6276.2751635387895,6918.69221650714,6862.488593592576
55.5,6865.64416085284,6769.520468918221,8815.881034996411,6548.082155476419,6754.300796377015,6994.32307279332,6903.347270555089,6955.026715713273,6346.7763974206155,6957.189317094588,6921.51126460496
55.6,6902.448292418997,6836.836272022797,8812.235601599272,6620.662877757458,6807.103532382631,7052.121959803881,6957.160273883374,7001.674926563542,6420.008007529348,6986.506435489246,6974.089058665043
55.7,6935.440539570177,6900.85007093481,8809.49032681531,6694.569685996705,6854.528166850473,7105.70595981146,7006.67337422593,7037.188660437803,6495.289396773485,7006.863783775911,7019.195700380661
55.800000000000004,6965.140556421062,6960.117034123044,8807.958795042172,6769.235472267018,6895.921679638748,7153.458000577836,7050.726763706987,7060.781017285162,6571.882745376895,7019.114888663785,7056.07035049874
55.900000000000006,6992.205820358008,7013.302595114998,8807.700674397583,6843.923060679814,6930.903720457963,7193.694122797261,7088.277256018013,7072.447785659588,6648.992687403657,7024.707167704859,7084.346644478144
56.0,7017.358453543151,7059.23193155152,8808.524561042677,6917.6952819632625,6959.524988317951,7224.935860382479,7118.530532812111,7073.062072617031,6725.771876308023,7025.58881586563,7104.094486050281
56.1,7041.2977079315315,7096.994360561634,8810.013047363756,6989.353860903775,6982.275208427011,7246.11588752858,7141.1386015453445,7064.368236126409,6801.358982828934,7024.092222257051,7115.867291451901
56.2,7064.659577335913,7126.062168886813,8811.60459767148,7057.481382034692,7000.0392068097635,7256.741558449793,7156.27942302256,7048.942967524649,6874.872822163327,7022.728784151381,7120.755182164169
56.300000000000004,7087.985018839415,7146.331124744244,8812.731098132905,7120.557253894129,7014.105694528693,7257.074490499994,7164.628290407017,7029.9819234308225,6945.355037961091,7023.933336911262,7120.351794779732
56.400000000000006,7111.67947330588,7158.1404363407655,8812.873321802246,7176.9935131290995,7026.013924019108,7248.146466952582,7167.345281987217,7010.96748021436,7011.795069735824,7029.84888446147,7116.616948912553
56.5,7135.968826963585,7162.28343690326,8811.721488068431,7225.242785002385,7037.351258110587,7231.739029097432,7165.9302825526875,6995.363756372312,7073.1677712084565,7042.098808875122,7111.733319762062
56.6,7160.9403269506165,7160.040531280822,8809.196354873198,7263.975555642124,7049.616972786137,7210.293743133682,7162.07978445376,6986.225279765024,7128.385112270701,7061.619046335263,7107.95041789262
56.7,7186.5434987682265,7153.095874375674,8805.460643205013,7292.179849927796,7064.048362622014,7186.643449876665,7157.561289720824,6985.850006576384,7176.317964953761,7088.58375785476,7107.320127920299
56.800000000000004,7212.621645081547,7143.44867914499,8800.911163917222,7309.274280861264,7081.526814099927,7163.751507166943,7153.999817700844,6995.581040529343,7215.9344034005235,7122.393650200183,7111.504510231238
56.900000000000006,7238.965946707558,7133.327520617958,8796.143233139193,7315.246761675619,7102.547416118706,7144.467090488229,7152.777219931545,7015.645415989495,7246.363840357978,7161.753004695946,7121.669847081409
57.0,7265.300882902826,7124.972733597952,8791.86577846301,7310.70589745379,7127.179125433623,7131.192024434734,7154.9762523154295,7045.16850732696,7266.956421885103,7204.832164817752,7138.336772250762
57.1,7291.316702396746,7120.4664733824875,8788.81857313846,7296.913546620449,7155.150777288179,7125.645332211344,7161.251728183594,7082.356061435389,7277.4575091779825,7249.4725741663815,7161.358060430779
