Time (s),S13 X-position (mm),S14 X-position (mm),S15 X-position (mm),S16 X-position (mm),S17 X-position (mm),S18 X-position (mm),S19 X-position (mm),S20 X-position (mm),S21 X-position (mm),S22 X-position (mm),S23 X-position (mm)
0.0185,656.11,656.683,0.0,655.985,656.195,656.152,656.226,656.425,656.027,656.564,655.093
0.0186,656.19,656.681,0.0,655.935,656.204,656.149,656.207,656.397,656.062,656.555,655.067
0.0187,656.169,656.724,0.0,655.918,656.195,656.159,656.246,656.413,656.029,656.548,655.077
0.0188,656.138,656.731,0.0,655.952,656.178,656.151,656.215,656.398,656.029,656.557,655.085
0.0189,656.117,656.685,0.0,655.943,656.203,656.151,656.24,656.421,656.025,656.573,655.085
0.019,656.036,656.698,0.0,655.95,656.185,656.161,656.258,656.399,656.06,656.563,655.083
0.0191,656.064,656.681,0.0,655.926,656.183,656.168,656.221,656.391,656.018,656.547,655.067
0.0192,656.131,656.694,0.0,655.963,656.222,656.145,656.228,656.417,656.038,656.564,655.068
0.0193,656.08,656.714,0.0,655.942,656.188,656.167,656.232,656.427,656.022,656.554,655.078
0.0194,656.262,656.666,0.0,655.952,656.205,656.167,656.225,656.425,656.067,656.583,655.084
0.0195,656.145,656.708,0.0,655.945,656.204,656.166,656.231,656.415,656.054,656.562,655.087
0.0196,656.037,656.716,0.0,655.96,656.187,656.17,656.225,656.38,656.011,656.574,655.087
0.0197,656.144,656.715,0.0,655.968,656.178,656.179,656.232,656.395,656.053,656.555,655.075
0.0198,656.116,656.684,0.0,655.952,656.186,656.136,656.215,656.409,656.019,656.554,655.084
0.0199,656.197,656.69,0.0,655.935,656.187,656.151,656.223,656.407,656.038,656.57,655.085
0.02,656.039,656.721,0.0,655.945,656.205,656.153,656.207,656.39,656.077,656.556,655.077
0.0201,655.999,656.684,0.0,655.935,656.197,656.144,656.217,656.423,656.018,656.557,655.104
0.0202,656.078,656.657,0.0,655.94,656.188,656.136,656.224,656.395,656.031,656.545,655.083
0.0203,656.161,656.72,0.0,655.943,656.195,656.186,656.232,656.41,656.027,656.583,655.089
