Oscilloscope time (s),Measured current through coilpair 5 (A)
0.016600,0.401250
0.016640,0.321250
0.016680,0.401250
0.016720,0.401250
0.016760,0.401250
0.016800,0.401250
0.016840,0.401250
0.016880,0.401250
0.016920,0.321250
0.016960,0.481250
0.017000,0.321250
0.017040,0.401250
0.017080,0.401250
0.017120,0.401250
0.017160,0.321250
0.017200,0.401250
0.017240,0.401250
0.017280,0.321250
0.017320,0.321250
0.017360,0.401250
0.017400,0.401250
0.017440,0.401250
0.017480,0.321250
0.017520,0.401250
0.017560,0.321250
0.017600,0.321250
0.017640,0.401250
0.017680,0.401250
0.017720,0.401250
0.017760,0.321250
0.017800,0.401250
0.017840,0.401250
0.017880,0.401250
0.017920,0.401250
0.017960,0.481250
