Kinetic energy (J),Arbitrary start time (ms),Average dx/dt (m/s),S13 dx/dt (m/s),S15 dx/dt (m/s),S16 dx/dt (m/s),S17 dx/dt (m/s),S18 dx/dt (m/s),S19 dx/dt (m/s),S20 dx/dt (m/s),S21 dx/dt (m/s),S22 dx/dt (m/s),S23 dx/dt (m/s)
1.4452829011704518,19.8,3.496775044537747,3.5173270176340012,3.5032068714689464,3.4670704865952904,3.4944156494747314,3.516567251748383,3.5176551039278494,3.4963154556718776,3.4490466238269315,3.5028513005407964,3.5032946844886643
1.4425873361416521,19.900000000000002,3.493512643946633,3.5135103117425066,3.496982942888749,3.4630811064458986,3.4879393890643517,3.515467723986308,3.515756005245794,3.491778746619516,3.4452967906797918,3.4997392419522977,3.505574180841122
1.4404228038835478,20.0,3.490890737012929,3.5096961037867365,3.491770770774465,3.4597295886623134,3.481798310823379,3.515155539112029,3.5151310916869667,3.4885397645279137,3.4415682085208728,3.4970370625147082,3.5084809297199078
1.4388123137606552,20.1,3.4889386652418266,3.5058291570542672,3.487367640498562,3.4571602732141113,3.476345327583104,3.5154212331160712,3.515866713735149,3.4867728619632454,3.4379867867294402,3.4949755283274864,3.5116611301968303
1.437754786236362,20.200000000000003,3.4876562440197234,3.501910156034386,3.48363612738855,3.4553872167764585,3.4718458753950614,3.5160649787649296,3.517946677673548,3.4865223308712667,3.4346289582679375,3.4938633841078537,3.514756734917241
1.4372295175980867,20.3,3.487019096497872,3.497967451092918,3.4805027106516633,3.45429419166284,3.4684029569801997,3.5169593860387196,3.521297846422057,3.487730837230558,3.4315637412264706,3.4940340570635025,3.5174377866097886
1.4372098159854516,20.400000000000002,3.486995196301666,3.4940727990958886,3.4780157309551356,3.453668584717676,3.465940787521999,3.5181169861071346,3.5257988692829274,3.4902559340468,3.428859833634776,3.4957920636559403,3.519430373998388
1.4376745075362272,20.5,3.4875588740019388,3.490323986880426,3.476362037681511,3.453265663890662,3.464235504538252,3.519707856493041,3.53130193162191,3.4938763487860025,3.426577685678276,3.4993730942470758,3.520564630202229
1.4386134957444152,20.6,3.488697602588206,3.4868114768118086,3.4757461065963033,3.4528507030555993,3.4629828556005724,3.52205297871525,3.5376817448478857,3.4983541008204067,3.4247885798128137,3.5048958793065728,3.5208116003148473
1.4400430283746002,20.700000000000003,3.4904305102656368,3.4836009634919236,3.4763749322347763,3.4522727611782935,3.461893960147123,3.5255841269308137,3.544846738660011,3.503478632410874,3.423604003547682,3.5123563834286093,3.5202926006262616
