Arbitrary start time (ms),Average dx/dt (m/s),S13 dx/dt (m/s),S15 dx/dt (m/s),S16 dx/dt (m/s),S17 dx/dt (m/s),S18 dx/dt (m/s),S19 dx/dt (m/s),S20 dx/dt (m/s),S21 dx/dt (m/s),S22 dx/dt (m/s),S23 dx/dt (m/s),Simulated time 1 (ms), Simulated speed 1 (m/s), Simulated current 1 (A),Simulated time 2 (ms), Simulated speed 2 (m/s), Simulated current 2 (A),Simulated time 3 (ms), Simulated speed 3 (m/s), Simulated current 3 (A),Simulated time 4 (ms), Simulated speed 4 (m/s), Simulated current 4 (A),Simulated time 5 (ms), Simulated speed 5 (m/s), Simulated current 5 (A),Unnamed: 15
84.10000000000002,8.903787881949897,9.005347196061024,8.850947655591721,8.787885888404311,8.944473719028025,8.887677885625637,8.937332483339512,8.89317762600885,8.877137524120004,8.896035062977775,8.957863778342121,,,,,,,,,,,,,,,,
84.2,8.928070306308298,9.03301784220389,8.884065053448309,8.796232916179012,8.972349601085618,8.915946035029222,8.963863913138601,8.910196607710962,8.885238555155611,8.9261044561633,8.993688082968445,,,,,,,,,,,,,,,,
84.30000000000003,8.957086037669686,9.067051034124939,8.923765983229329,8.807333962548801,9.004790502414748,8.949841649217404,8.995925843269955,8.932194140294445,8.892398913363765,8.962497831551977,9.035060516681481,,,,,,,,,,,,,,,,
84.4,8.991305610422804,9.108182423397603,8.969716046519869,8.821764031329854,9.042476960048333,8.989847228417773,9.033980789940728,8.960223374128475,8.898931941072618,9.00576627092607,9.082167038446732,,,,,,,,,,,,,,,,
84.5,9.031101303964117,9.156811998907436,9.021419555339348,8.840188370963752,9.086086326866528,9.036378328696797,9.078275330097801,8.995084973262832,8.905386859206303,9.05628120185116,9.135100094449225,,,,,,,,,,,,,,,,
84.60000000000002,9.07668973207619,9.212977699567679,9.078331736306927,8.863298309358152,9.136147150921682,9.089749106265566,9.128725496082133,9.037270599559287,8.912436610093723,9.11412247829548,9.193838134311273,,,,,,,,,,,,,,,,
84.7,9.128107609228762,9.27631152651631,9.139903889920914,8.891838603228383,9.192928663057831,9.150058444165992,9.184894800173169,9.086909205082373,8.920915717731534,9.179035031006343,9.258280211404774,,,,,,,,,,,,,,,,
84.80000000000003,9.185188978714377,9.346031267330961,9.205628357834167,8.926511228416405,9.256364124248384,9.217094856066145,9.246053249462019,9.143797417495431,8.93181365545458,9.250432489102305,9.328163141733386,,,,,,,,,,,,,,,,
84.9,9.247562228809462,9.42098161684585,9.275055541357355,8.967923374585203,9.325961996902109,9.290371169384759,9.311201010172596,9.20746747405618,8.946186550658721,9.327387603233905,9.40308595089793,,,,,,,,,,,,,,,,
85.0,9.314671099030706,9.49973823097893,9.347737147528257,9.016535461425262,9.400880362690188,9.369080491154751,9.37920005275775,9.277201932866909,8.965155121042613,9.40869926073178,9.482482929130652,,,,,,,,,,,,,,,,
85.10000000000002,9.385808136806775,9.580697678697033,9.423199312537392,9.072601686541805,9.47997579732474,9.452166505399203,9.448842785275652,9.352160942359989,8.98984618913036,9.492968565185306,9.565621905616279,,,,,,,,,,,,,,,,
85.2,9.460163756881986,9.662237349099954,9.500869501002905,9.136092741723052,9.56190790862499,9.53849444089178,9.518984435988754,9.431450149570553,9.021291019137461,9.578664651527486,9.651645371252906,,,,,,,,,,,,,,,,
85.30000000000003,9.536873102418513,9.742880813645916,9.5800552855891,9.206657359786039,9.645338420864539,9.626930822014124,9.588609372722688,9.51418852783652,9.060314690648287,9.664136680766477,9.739619050311466,,,,,,,,,,,,,,,,
85.4,9.615064883086694,9.821402337680643,9.659964124518527,9.283622731587851,9.72901399088017,9.716418573365932,9.656873766286862,9.59953921711816,9.107506121015401,9.747727146172316,9.828580822241069,,,,,,,,,,,,,,,,
85.5,9.6939041503776,9.896918735458089,9.739771458025723,9.366011806989613,9.811825742005457,9.806102251062047,9.723148690573074,9.686794689744012,9.163102839368829,9.827788208642122,9.917577081907039,,,,,,,,,,,,,,,,
85.60000000000002,9.772600514386804,9.968891845690562,9.818703938707873,9.452617624802409,9.892960744906103,9.895264119103476,9.78695094965324,9.775315312878742,9.226902256970268,9.902674814428565,10.0057235367268,,,,,,,,,,,,,,,,
85.7,9.850424334148547,10.037046731856632,9.896153035621849,9.542103407278653,9.971760654814648,9.983276685697538,9.847931715354347,9.864552700539805,9.298388469150057,9.97085039195326,10.092179549218653,,,,,,,,,,,,,,,,
85.80000000000003,9.926698513015328,10.101237289746333,9.971744705969208,9.633108528398603,10.047715902100546,10.069570088532624,9.905814429639104,9.953998478443678,9.376701501396562,10.030941941814259,10.176152264112368,,,,,,,,,,,,,,,,
85.9,10.000749533151893,10.161264429484897,10.045350540322623,9.724337330829732,10.120428335747244,10.153483910872573,9.960254663759928,10.043080908511254,9.460710876241492,10.08172807481173,10.256856260937461,,,,,,,,,,,,,,,,
86.0,10.071893580781179,10.216704631760356,10.117017651525778,9.814677691941622,10.189426270312786,10.234179904508373,10.010746529533883,10.131163065095018,9.549228823288312,10.122273150893044,10.333518088952603,,,,,,,,,,,,,,,,
86.10000000000002,10.139415244743988,10.266837440363323,10.1868603975373,9.903161784098176,10.254174637555016,10.310650001864577,10.056614375802036,10.217424761523251,9.641051002398775,10.152003632331054,10.405374413966358,,,,,,,,,,,,,,,,
86.2,10.202522147214482,10.31060312736258,10.25490136520957,9.98902416767226,10.314017579779744,10.381629351062863,10.09685895540899,10.300831737959003,9.735004040425826,10.170642295953762,10.471708851310224,,,,,,,,,,,,,,,,
86.30000000000003,10.260355941836727,10.346663308150411,10.320883969735613,10.07168075225775,10.36813972603268,10.445570075069226,10.13021116259933,10.380143247647014,9.830089246407796,10.17830852235731,10.53186940811015,,,,,,,,,,,,,,,,
86.4,10.312022892869637,10.373595696284198,10.384198829409396,10.150610959662297,10.41560228236149,10.500756397061776,10.155289457045438,10.453926165364164,9.925401539184406,10.175529427440884,10.585318174882332,,,,,,,,,,,,,,,,
86.5,10.356617368668656,10.390102430154672,10.443835683064878,10.225340292310241,10.455427495682116,10.54529902365159,10.170693828885916,10.520579607610738,10.020127187167414,10.163141706746325,10.631626431412665,,,,,,,,,,,,,,,,
86.60000000000002,10.393283751665944,10.395217615636328,10.49842668695222,10.295364568517565,10.486576810489211,10.577234300855293,10.175280863341083,10.578461061195584,10.11355103725193,10.142302910766851,10.670421661653343,,,,,,,,,,,,,,,,
86.7,10.421277784263225,10.38846029645456,10.546379886281184,10.36007350065813,10.508061575523604,10.59469704082875,10.168445336372972,10.625952097555404,10.204969119790366,10.114451559328607,10.701287429838665,,,,,,,,,,,,,,,,
86.80000000000003,10.440002011719482,10.369908344381985,10.586017620299023,10.418718382078124,10.519003444888265,10.596029900276971,10.150313220375873,10.661517436946873,10.293667969862806,10.081189292858117,10.723654505226797,,,,,,,,,,,,,,,,
86.9,10.449048034011328,10.340181946090595,10.615778712592814,10.470408234539992,10.518616664941318,10.579957342481077,10.12187753735558,10.683797236885344,10.378904969025044,10.044295681713177,10.736662014488351,,,,,,,,,,,,,,,,
87.0,10.448218119220805,10.300370265137662,10.634306808870413,10.514114846846802,10.506305818719268,10.545846301512807,10.085049203430405,10.691592530095145,10.459880754087848,10.005630419823461,10.739084243684237,,,,,,,,,,,,,,,,
87.10000000000002,10.437509616412473,10.251889188130994,10.640564482405388,10.54873896945403,10.481706920025415,10.493799203060076,10.042470977130446,10.68391795463303,10.535679276706828,9.966970262349262,10.729358930229273,,,,,,,,,,,,,,,,
87.2,10.417121750002774,10.196332746425568,10.633844771091141,10.573150724354367,10.444706332285293,10.424732897279238,9.997277331876294,10.660053729896909,10.605340865135824,9.930039950784533,10.70573815089856,,,,,,,,,,,,,,,,
87.30000000000003,10.387462870052408,10.13539392636715,10.61377965639771,10.586264299957863,10.395510413670037,10.340523280927686,9.952774718845813,10.619575022452477,10.667814605387244,9.896398454976586,10.666594321541515,,,,,,,,,,,,,,,,
87.4,10.349148866040467,10.070790020978958,10.580314215696593,10.58714861237678,10.334762004037673,10.243925375179533,9.91203335983708,10.562440155913869,10.72195557731374,9.867330246150916,10.610789092919534,,,,,,,,,,,,,,,,
87.5,10.303032867005196,10.004228490991947,10.533661539497267,10.575111240570607,10.263576376139117,10.138468693334485,9.877583065919373,10.489159968875567,10.76660870445662,9.843868435381184,10.538062154885804,,,,,,,,,,,,,,,,
87.60000000000002,10.250233386378381,9.93741268379182,10.474333982045623,10.549739085441356,10.183636450790624,10.028347857004716,9.851198308352682,10.400906765937783,10.80063077485929,9.826737624530184,10.449390331029733,,,,,,,,,,,,,,,,
87.7,10.192120783121279,9.872041124328582,10.403144291162087,10.510965530806347,10.097211560529306,9.918122329049297,9.833707818142502,10.299632566248807,10.822870180217139,9.816300892073574,10.347211538655161,,,,,,,,,,,,,,,,
87.80000000000003,10.130314017813324,9.809770807943043,10.321233242685944,10.459172872987082,10.007105747830847,9.812454350908558,9.825008398453068,10.188150984335484,10.832241116340295,9.812630654305481,10.235372002343428,,,,,,,,,,,,,,,,
87.9,10.066619318845893,9.752144799104347,10.230095982487619,10.39518525642834,9.916602367710254,9.715816129775881,9.824176093874344,10.070091271936686,10.827739453835703,9.815460035106016,10.118881798199745,,,,,,,,,,,,,,,,
88.0,10.002920513417944,9.700513598411654,10.131631673130931,10.320332439262216,9.829241422619221,9.632097596717141,9.829588997429628,9.949755213382758,10.808420153391051,9.824194222835846,10.00342981699898,,,,,,,,,,,,,,,,
